%Source,CH1,CH2
%Second,Volt,Volt
-0.01970399916,4.42400,-1.96000
-0.01970200054,4.42400,-1.96000
-0.01970000006,4.42400,-1.96000
-0.01969799958,4.42400,-2.01600
-0.01969599910,4.42400,-2.12800
-0.01969400048,4.42400,-2.18400
-0.01969200000,4.42400,-2.29600
-0.01968999952,4.42400,-2.29600
-0.01968799904,4.42400,-2.29600
-0.01968600042,4.42400,-2.46400
-0.01968399994,4.42400,-2.46400
-0.01968199946,4.42400,-2.52000
-0.01968000084,4.42400,-2.63200
-0.01967800036,4.42400,-2.63200
-0.01967599988,4.42400,-2.68800
-0.01967399940,4.42400,-2.68800
-0.01967200078,4.42400,-2.80000
-0.01967000030,4.42400,-2.85600
-0.01966799982,4.42400,-2.91200
-0.01966599934,4.42400,-2.91200
-0.01966400072,4.42400,-2.91200
-0.01966200024,4.42400,-3.02400
-0.01965999976,4.42400,-3.08000
-0.01965799928,4.42400,-3.19200
-0.01965600066,4.42400,-3.19200
-0.01965400018,4.42400,-3.24800
-0.01965199970,4.42400,-3.24800
-0.01964999922,4.42400,-3.36000
-0.01964800060,4.42400,-3.41600
-0.01964600012,4.42400,-3.41600
-0.01964399964,4.42400,-3.52800
-0.01964199916,4.42400,-3.52800
-0.01964000054,4.42400,-3.58400
-0.01963800006,4.42400,-3.58400
-0.01963599958,4.42400,-3.58400
-0.01963399909,4.42400,-3.69600
-0.01963200048,4.42400,-3.75200
-0.01963000000,4.42400,-3.75200
-0.01962799951,4.42400,-3.80800
-0.01962599903,4.42400,-3.80800
-0.01962400042,4.36800,-3.92000
-0.01962199993,4.36800,-3.92000
-0.01961999945,4.20000,-3.97600
-0.01961800084,4.20000,-4.08800
-0.01961600035,4.20000,-4.08800
-0.01961399987,4.08800,-4.08800
-0.01961199939,4.03200,-4.08800
-0.01961000077,4.03200,-4.14400
-0.01960800029,3.92000,-4.14400
-0.01960599981,3.86400,-4.25600
-0.01960399933,3.80800,-4.25600
-0.01960200071,3.80800,-4.25600
-0.01960000023,3.80800,-4.31200
-0.01959799975,3.69600,-4.31200
-0.01959599927,3.69600,-4.31200
-0.01959400065,3.64000,-4.42400
-0.01959200017,3.52800,-4.48000
-0.01958999969,3.47200,-4.48000
-0.01958799921,3.47200,-4.59200
